;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
smithian_school;Smithianism;;;;;;;;;;;;;;;;;;;;x,,,,,
smithian_school_desc;Laissez-faire philosophies, such as minimizing the role of government intervention and taxation in the free markets, and the idea that an "invisible hand" guides supply and demand are among the key ideas Adam Smith's writing is responsible for promoting. Our trade policies are largely inspired by him.;;;;;;;;;;;;;;;;;;;;x,,,,,
french_liberal_school;Orthodox Liberal School;;;;;;;;;;;;;;;;;;;;x,,,,,
french_liberal_school_desc;The Orthodox school of economic thought, also known as the French Liberal School or Oprtimist School, voraciously defends free trade and laissez-faire capitalism. They are the primary opponents of collectivist, interventionist and protectionist ideas.  Our trade policies are largely inspired by this school.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;x,,,,,
no_trade_policy_set;No Set Trade Policy;;;;;;;;;;;;;;;;;;;;x,,,,,
no_trade_policy_set_desc;Our government doesn't have a set trade policy and prefers to make snap decisions on tariffs.;;;;;;;;;;;;;;;;;;;;x,,,,,
mercantilism;Mercantilism;;;;;;;;;;;;;;;;;;;;x,,,,,
mercantilism_desc;Mercantilism is a type of policy designed to maximize the trade of a nation and especially to maximize the accumulation of gold and silver. It promotes governmental regulation of a nation's economy for the purpose of augmenting state power at the expense of rival national powers.;;;;;;;;;;;;;;;;;;;;x,,,,,
economic_nationalism;Economic Nationalism;;;;;;;;;;;;;;;;;;;;x,,,,,
economic_nationalism_desc;The aim of this policy is to have a country that is economically independent and nationally self-sufficient. It favors policies that emphasize domestic control of the economy, labor, and capital formation, even if this requires the heavy imposition of tariffs and other restrictions on the movement of labor, goods and capital.;;;;;;;;;;;;;;;;;;;;x,,,,,
raise_regional_armies;Raising Regional Armies;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
raise_regional_armies_desc;We've called upon regional lords to contribute their vast resources and manpower in exchange for greater autonomy and rights in the future. While this allows us access to a far larger army, giving over such privileges means we will lose most control over certain regions, which in turn could have major consequences in the future.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
low_carrying_capacity;Low Carrying Capacity;;;;;;;;;;;;;;;;;;;;x,,,,,
low_carrying_capacity_desc;A combination of poor land distribution policy and traditional agricultural/mining practices limits our ability to exploit the land in this region. Reform and new technologies will allow us to use this land to its full potential.;;;;;;;;;;;;;;;;;;;;x,,,,,
korean_occupation;Korean Occupation;;;;;;;;;;;;;;;;;;;;x,,,,,
korean_occupation_desc;The native Han of the region chaff under Korean rule, many choosing to leave to join their brethren to the south.;;;;;;;;;;;;;;;;;;;;x,,,,,
korean_advance;The Korean Advance;;;;;;;;;;;;;;;;;;;;x,,,,,
korean_advance_desc;The Hwaryeong's Ever Victorious Armies have advanced into the region, causing a mass exodus of the native Han seeking to avoid the horrors of war.;;;;;;;;;;;;;;;;;;;;x,,,,,
highlander_raids;Highlander Raids;;;;;;;;;;;;;;;;;;;;x,,,,,
highlander_raids_desc;Highlander raiders are looting our provinces in numbers.;;;;;;;;;;;;;;;;;;;;x,,,,,
global_baby_boom;Baby Boom;;;;;;;;;;;;;;;;;;x,,,,
global_baby_boom_desc;Improvements in life conditions in our country are leading to a country-wide baby boom.;;;;;;;;;;;;;;;;;;x,,,,
